EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-371.691,4968.160,4173.625,5129.882,-7501.729,-4839.355,-1243.908,6618.325,-0.108,0.963,-0.128,0.000,0.000,0.000,60.000,1.000,1.000
-2536.981,34848.724,28886.978,36006.784,-52158.264,-31598.017,-1581.023,9700.296,-0.112,0.977,-0.137,0.000,0.000,0.000,60.000,2.000,1.000
-8451.566,115978.945,109509.285,116853.752,-165891.383,-102320.025,-9650.821,18155.307,-0.114,0.980,-0.142,0.000,0.000,0.000,60.000,3.000,1.000
-13914.334,250387.292,273032.350,228988.603,-324601.860,-205976.247,-37137.205,32355.217,-0.113,0.981,-0.139,0.000,0.000,0.000,60.000,4.000,1.000
7503.916,403629.375,510424.775,288987.321,-443528.377,-284594.050,-84792.589,48949.280,-0.115,0.980,-0.143,0.061,-0.061,0.061,60.000,5.000,1.000
109064.345,521148.156,781536.228,215938.322,-449857.150,-271541.936,-131787.488,63104.694,-0.114,0.981,-0.145,5.066,-3.418,5.066,60.000,6.000,1.000
333895.672,553401.348,1039551.895,31429.045,-335524.535,-140497.348,-148775.727,71355.689,-0.115,0.982,-0.146,1.526,-0.214,1.587,60.000,7.000,1.000
665326.045,493404.881,1245144.055,-138734.848,-149187.488,80127.050,-120734.766,73003.793,-0.115,0.981,-0.142,0.580,0.702,0.793,60.000,8.000,1.000
1026135.680,395909.356,1375224.545,-166717.492,33720.112,325090.311,-55937.511,69979.416,-0.115,0.981,-0.146,0.305,1.129,0.427,60.000,9.000,1.000
1324506.589,336544.183,1432250.693,-8978.036,145103.790,523737.777,20459.204,65490.862,-0.116,0.981,-0.146,0.031,1.251,0.305,60.000,10.000,1.000
1498926.762,355186.768,1439690.443,279393.417,160153.988,632975.498,79353.836,62181.548,-0.115,0.980,-0.143,-0.092,1.343,0.305,60.000,11.000,1.000
1540139.729,439348.281,1423473.328,576485.860,110221.005,656327.754,102847.583,60936.765,-0.114,0.979,-0.147,-0.122,1.465,0.336,60.000,12.000,1.000
1489692.641,540293.659,1399130.962,755745.788,53229.162,633115.866,93912.752,61090.949,-0.115,0.980,-0.145,-0.153,1.556,0.458,60.000,13.000,1.000
1413391.690,602368.679,1374057.874,759618.112,26104.538,604471.360,71506.172,61596.705,-0.116,0.979,-0.147,-0.061,1.526,0.488,60.000,14.000,1.000
1361279.695,593953.673,1354579.605,630410.924,25713.308,587233.077,54347.994,61938.754,-0.116,0.979,-0.146,-0.153,1.556,0.549,60.000,15.000,1.000
1344368.169,521849.105,1345703.778,463453.852,31161.791,577292.053,48464.326,62100.009,-0.113,0.981,-0.147,-0.214,1.678,0.671,60.000,16.000,1.000
1345677.508,417863.492,1345642.894,327280.937,33820.483,569653.497,48946.227,62045.969,-0.115,0.981,-0.144,-0.214,1.648,0.641,60.000,17.000,1.000
1348187.773,312088.931,1345841.168,231090.461,40221.017,567597.722,50330.871,61580.521,-0.114,0.981,-0.143,-0.183,1.648,0.610,60.000,18.000,1.000
1348781.985,219268.041,1339073.525,157697.860,53210.704,573871.465,52324.349,60695.934,-0.112,0.982,-0.143,-0.244,1.740,0.702,60.000,19.000,1.000
1349943.924,144771.348,1326205.678,104664.025,62702.139,581788.973,56341.810,59781.514,-0.114,0.980,-0.143,-0.336,1.862,0.641,60.000,20.000,1.000
1348272.742,93513.856,1313497.812,82627.655,58480.198,581031.566,60518.346,59279.348,-0.114,0.983,-0.143,-0.214,1.801,0.641,60.000,21.000,1.000
1337147.474,68000.778,1304537.413,86913.949,44975.146,570116.663,60956.414,59194.960,-0.114,0.982,-0.145,-0.214,1.923,0.763,60.000,22.000,1.000
1317449.005,61602.125,1297066.247,91600.321,36572.941,558080.073,56955.597,59114.645,-0.114,0.982,-0.144,-0.214,1.953,0.702,60.000,23.000,1.000
1299029.740,60654.522,1287555.581,76754.259,40095.743,553229.368,52418.240,58719.302,-0.116,0.983,-0.142,-0.244,2.014,0.702,60.000,24.000,1.000
1289852.990,55385.695,1276338.221,50452.641,47909.784,553986.075,51327.879,58135.291,-0.114,0.980,-0.144,-0.214,2.136,0.641,60.000,25.000,1.000
1287248.779,46449.128,1266611.084,35402.640,49386.987,552854.080,53311.810,57699.363,-0.113,0.981,-0.142,-0.305,2.167,0.671,60.000,26.000,1.000
1282454.818,39621.209,1259610.892,39105.040,44174.161,546747.748,54816.429,57491.399,-0.112,0.981,-0.143,-0.305,2.136,0.641,60.000,27.000,1.000
